Year,Crop,Region,Season,Area,Annual_Rainfall,Average_Temperature,Fertilizer_Used,Pesticide_Used,Humidity,Production,Yield_Per_Ha
2011,Millet,Andhra Pradesh,Rabi,367.2,2422.7,15.8,167.8,14.18,91.3,418331.0,1139.25
2019,Maize,Rajasthan,Zaid,161.62,883.0,22.2,222.0,15.79,63.6,426319.63,2637.79
2015,Sorghum,Tamil Nadu,Zaid,174.14,994.3,18.6,203.9,18.81,50.8,139527.57,801.24
2012,Sorghum,Madhya Pradesh,Rabi,104.98,2324.7,29.4,52.2,19.97,89.9,138131.22,1315.79
2011,Maize,Karnataka,Rabi,223.36,2433.3,33.4,132.8,11.22,34.5,870291.4,3896.36
2023,Sugarcane,Rajasthan,Whole Year,26.94,927.4,16.6,124.8,11.45,43.9,2398210.53,89020.44
2015,Wheat,Andhra Pradesh,Whole Year,150.88,600.1,16.9,172.2,0.94,52.2,576343.9,3819.88
2015,Sugarcane,Andhra Pradesh,Rabi,264.03,1969.9,38.5,111.1,17.37,80.8,23021478.23,87192.66
2008,Sunflower,Madhya Pradesh,Rabi,233.35,2345.3,27.3,73.7,1.06,88.8,410358.16,1758.55
2012,Sunflower,Maharashtra,Rabi,499.84,1621.6,27.5,118.8,12.84,59.4,700845.22,1402.14
2007,Sunflower,Bihar,Rabi,194.99,1695.9,40.5,349.0,2.42,48.6,199577.33,1023.53
2006,Millet,Punjab,Zaid,194.11,1978.5,23.6,329.0,6.07,53.0,217501.15,1120.5
2016,Wheat,Karnataka,Whole Year,252.29,636.8,39.2,204.7,3.24,72.7,746423.76,2958.59
2010,Potato,Madhya Pradesh,Rabi,95.96,2441.6,41.3,357.2,3.18,40.3,2165199.15,22563.56
2006,Potato,Rajasthan,Rabi,438.28,1101.5,21.5,131.4,1.95,65.6,12031649.26,27451.97
2005,Maize,West Bengal,Zaid,286.56,1682.1,28.9,254.5,6.7,68.2,1110713.98,3876.03
2016,Sunflower,West Bengal,Kharif,96.86,1331.0,29.4,100.0,8.76,76.0,102979.35,1063.18
2016,Sunflower,Karnataka,Rabi,396.93,1330.0,38.4,341.7,9.56,69.3,201048.07,506.51
2021,Sugarcane,Bihar,Zaid,18.13,1846.0,23.2,95.7,9.07,36.3,1905194.71,105085.2
2014,Cotton,Rajasthan,Zaid,491.3,2488.3,36.5,61.2,10.71,74.8,324189.37,659.86
2020,Rice,Uttar Pradesh,Kharif,432.71,1749.9,41.2,145.7,17.27,31.4,1255241.24,2900.88
2019,Barley,Uttar Pradesh,Whole Year,290.24,2046.9,37.7,365.3,12.82,55.4,404029.31,1392.05
2019,Groundnut,Punjab,Whole Year,56.54,360.8,39.5,95.3,0.84,57.1,68304.86,1208.08
2023,Barley,Rajasthan,Whole Year,108.42,2082.9,34.1,165.7,3.87,37.6,296843.6,2737.9
2016,Millet,Andhra Pradesh,Rabi,140.44,959.9,39.4,160.7,7.3,30.6,124831.07,888.86
2007,Sugarcane,Haryana,Whole Year,121.27,578.7,19.5,330.6,19.01,34.6,1142477.78,9420.94
2009,Soybean,West Bengal,Rabi,249.26,549.3,34.2,197.5,2.02,59.0,289762.88,1162.49
2023,Sunflower,Bihar,Rabi,472.34,1795.7,34.8,264.0,14.35,45.6,560823.92,1187.33
2011,Wheat,Rajasthan,Zaid,222.64,2494.8,26.9,191.5,1.15,34.5,1142433.27,5131.3
2013,Potato,Rajasthan,Whole Year,331.12,1765.6,17.2,243.0,7.57,46.7,7498822.03,22646.84
2011,Potato,Haryana,Whole Year,344.6,877.2,31.8,71.9,15.52,64.4,5164459.13,14986.82
2022,Sugarcane,Haryana,Whole Year,435.92,747.3,16.4,180.9,7.21,78.2,38250223.3,87745.97
2008,Wheat,Tamil Nadu,Rabi,17.88,1457.1,25.3,349.3,8.89,56.8,45895.65,2566.87
2018,Groundnut,Madhya Pradesh,Rabi,202.76,443.1,25.6,291.9,18.15,69.9,121361.46,598.55
2022,Cotton,Maharashtra,Whole Year,392.58,1178.5,42.0,393.6,1.79,68.8,49126.61,125.14
2013,Barley,Punjab,Rabi,407.62,1765.7,23.1,325.8,10.79,88.3,718102.49,1761.7
2006,Rice,West Bengal,Rabi,463.74,2428.9,37.2,208.0,7.64,41.7,1495972.46,3225.89
2019,Groundnut,Haryana,Kharif,351.69,1236.4,16.4,286.7,19.29,61.0,319711.91,909.07
2011,Groundnut,Uttar Pradesh,Kharif,123.33,740.5,29.3,321.6,15.98,71.1,117640.98,953.87
2016,Barley,Karnataka,Whole Year,253.33,2098.2,29.5,144.4,2.88,63.8,980274.59,3869.56
2012,Groundnut,Uttar Pradesh,Whole Year,17.14,1937.2,32.0,71.0,18.58,59.3,35541.26,2073.59
2019,Soybean,Tamil Nadu,Kharif,323.82,2191.3,36.9,192.0,4.62,93.3,492228.64,1520.07
